From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
GBF1	A0A7I2YQM0	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1			
GBF1	A0A7I2YQM2	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1		cytosol [GO:0005829]; Golgi apparatus [GO:0005794]	
GBF1	A0A7I2YQN3	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1		membrane [GO:0016020]	
GBF1	A0A7I2YQN6	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1		cytosol [GO:0005829]; Golgi apparatus [GO:0005794]	
GBF1	A0A7I2YQP6	Golgi brefeldin A resistant guanine nucleotide exchange factor 1	GBF1			
GBF1	Q05BW6	GBF1 protein	GBF1			
GBF1	Q504U7	GBF1 protein	GBF1			
GLB1	P16278	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1)	GLB1 ELNR1	FUNCTION: [Isoform 1]: Cleaves beta-linked terminal galactosyl residues from gangliosides, glycoproteins, and glycosaminoglycans. {ECO:0000269|PubMed:15714521, ECO:0000269|PubMed:19472408, ECO:0000269|PubMed:2511208, ECO:0000269|PubMed:25936995, ECO:0000269|PubMed:8200356}.; FUNCTION: [Isoform 2]: Has no beta-galactosidase catalytic activity, but plays functional roles in the formation of extracellular elastic fibers (elastogenesis) and in the development of connective tissue. Seems to be identical to the elastin-binding protein (EBP), a major component of the non-integrin cell surface receptor expressed on fibroblasts, smooth muscle cells, chondroblasts, leukocytes, and certain cancer cell types. In elastin producing cells, associates with tropoelastin intracellularly and functions as a recycling molecular chaperone which facilitates the secretions of tropoelastin and its assembly into elastic fibers. {ECO:0000269|PubMed:10841810, ECO:0000269|PubMed:8922281}.	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; vacuole [GO:0005773]	Q8NBJ4; Q3KNW5; Q9BRI3; P30825
GLB1	C9J4G9	Galactosidase beta 1	GLB1			
GLB1	C9J539	Galactosidase beta 1	GLB1			
GLB1	C9JF15	Galactosidase beta 1	GLB1			
GLB1	C9JWX1	Galactosidase beta 1	GLB1			
GLB1	E7EQ29	Galactosidase beta 1	GLB1		Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]	
GLB1	F4YK10	Galactosidase beta 1 (EC 3.2.1.23)	GLB1			
GLB1	F8WEN1	Galactosidase beta 1	GLB1			
GLB1	F8WF40	Galactosidase beta 1	GLB1			
GLUL	P15104	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)	GLUL GLNS	FUNCTION: Glutamine synthetase that catalyzes the ATP-dependent conversion of glutamate and ammonia to glutamine (PubMed:16267323, PubMed:30158707, PubMed:36289327). Its role depends on tissue localization: in the brain, it regulates the levels of toxic ammonia and converts neurotoxic glutamate to harmless glutamine, whereas in the liver, it is one of the enzymes responsible for the removal of ammonia (By similarity). Plays a key role in ammonium detoxification during erythropoiesis: the glutamine synthetase activity is required to remove ammonium generated by porphobilinogen deaminase (HMBS) during heme biosynthesis to prevent ammonium accumulation and oxidative stress (By similarity). Essential for proliferation of fetal skin fibroblasts (PubMed:18662667). Independently of its glutamine synthetase activity, required for endothelial cell migration during vascular development: acts by regulating membrane localization and activation of the GTPase RHOJ, possibly by promoting RHOJ palmitoylation (PubMed:30158707). May act as a palmitoyltransferase for RHOJ: able to autopalmitoylate and then transfer the palmitoyl group to RHOJ (PubMed:30158707). Plays a role in ribosomal 40S subunit biogenesis (PubMed:26711351). Through the interaction with BEST2, inhibits BEST2 channel activity by affecting the gating at the aperture in the absence of intracellular L-glutamate, but sensitizes BEST2 to intracellular L-glutamate, which promotes the opening of BEST2 and thus relieves its inhibitory effect on BEST2 (PubMed:36289327). {ECO:0000250|UniProtKB:P15105, ECO:0000269|PubMed:16267323, ECO:0000269|PubMed:18662667, ECO:0000269|PubMed:26711351, ECO:0000269|PubMed:30158707, ECO:0000269|PubMed:36289327}.	cell body [GO:0044297]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; glial cell projection [GO:0097386]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	P15104; Q9H4E5; Q9H4E5-1; P17735; B4URF7
GLUL	A0A2R8YDT1	Glutamine synthetase (EC 6.3.1.2)	GLUL		mitochondrion [GO:0005739]	
GLUL	A1L199	Glutamine synthetase (EC 6.3.1.2)	GLUL		mitochondrion [GO:0005739]	
GLUL	A8YXX4	Glutamine synthetase (EC 6.3.1.2)	PIG59 GLUL hCG_24393		cell body [GO:0044297]; glial cell projection [GO:0097386]; mitochondrion [GO:0005739]	
GMDS	O60547	GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)	GMDS	FUNCTION: Catalyzes the conversion of GDP-D-mannose to GDP-4-dehydro-6-deoxy-D-mannose. {ECO:0000269|PubMed:9525924, ECO:0000269|PubMed:9603974}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	O60547; O43448; Q96HA8
GNB2L1	P63244	Small ribosomal subunit protein RACK1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Receptor of activated protein C kinase 1) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed) (Receptor of activated protein C kinase 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	FUNCTION: Scaffolding protein involved in the recruitment, assembly and/or regulation of a variety of signaling molecules. Interacts with a wide variety of proteins and plays a role in many cellular processes. Component of the 40S ribosomal subunit involved in translational repression (PubMed:23636399). Involved in the initiation of the ribosome quality control (RQC), a pathway that takes place when a ribosome has stalled during translation, by promoting ubiquitination of a subset of 40S ribosomal subunits (PubMed:28132843). Binds to and stabilizes activated protein kinase C (PKC), increasing PKC-mediated phosphorylation. May recruit activated PKC to the ribosome, leading to phosphorylation of EIF6. Inhibits the activity of SRC kinases including SRC, LCK and YES1. Inhibits cell growth by prolonging the G0/G1 phase of the cell cycle. Enhances phosphorylation of BMAL1 by PRKCA and inhibits transcriptional activity of the BMAL1-CLOCK heterodimer. Facilitates ligand-independent nuclear translocation of AR following PKC activation, represses AR transactivation activity and is required for phosphorylation of AR by SRC. Modulates IGF1R-dependent integrin signaling and promotes cell spreading and contact with the extracellular matrix. Involved in PKC-dependent translocation of ADAM12 to the cell membrane. Promotes the ubiquitination and proteasome-mediated degradation of proteins such as CLEC1B and HIF1A. Required for VANGL2 membrane localization, inhibits Wnt signaling, and regulates cellular polarization and oriented cell division during gastrulation. Required for PTK2/FAK1 phosphorylation and dephosphorylation. Regulates internalization of the muscarinic receptor CHRM2. Promotes apoptosis by increasing oligomerization of BAX and disrupting the interaction of BAX with the anti-apoptotic factor BCL2L. Inhibits TRPM6 channel activity. Regulates cell surface expression of some GPCRs such as TBXA2R. Plays a role in regulation of FLT1-mediated cell migration. Involved in the transport of ABCB4 from the Golgi to the apical bile canalicular membrane (PubMed:19674157). Promotes migration of breast carcinoma cells by binding to and activating RHOA (PubMed:20499158). Acts as an adapter for the dephosphorylation and inactivation of AKT1 by promoting recruitment of PP2A phosphatase to AKT1 (By similarity). {ECO:0000250|UniProtKB:P68040, ECO:0000269|PubMed:11884618, ECO:0000269|PubMed:12589061, ECO:0000269|PubMed:12958311, ECO:0000269|PubMed:17108144, ECO:0000269|PubMed:17244529, ECO:0000269|PubMed:17956333, ECO:0000269|PubMed:18088317, ECO:0000269|PubMed:18258429, ECO:0000269|PubMed:18621736, ECO:0000269|PubMed:19423701, ECO:0000269|PubMed:19674157, ECO:0000269|PubMed:19785988, ECO:0000269|PubMed:20499158, ECO:0000269|PubMed:20541605, ECO:0000269|PubMed:20573744, ECO:0000269|PubMed:20976005, ECO:0000269|PubMed:21212275, ECO:0000269|PubMed:21347310, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:28132843, ECO:0000269|PubMed:9584165}.; FUNCTION: (Microbial infection) Binds to Y.pseudotuberculosis yopK which leads to inhibition of phagocytosis and survival of bacteria following infection of host cells. {ECO:0000269|PubMed:21347310}.; FUNCTION: (Microbial infection) Enhances phosphorylation of HIV-1 Nef by PKCs. {ECO:0000269|PubMed:11312657}.; FUNCTION: (Microbial infection) In case of poxvirus infection, remodels the ribosomes so that they become optimal for the viral mRNAs (containing poly-A leaders) translation but not for host mRNAs. {ECO:0000269|PubMed:28636603}.; FUNCTION: (Microbial infection) Contributes to the cap-independent internal ribosome entry site (IRES)-mediated translation by some RNA viruses. {ECO:0000269|PubMed:25416947}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; IRE1-RACK1-PP2A complex [GO:1990630]; midbody [GO:0030496]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; small ribosomal subunit [GO:0015935]	P22303; P35609; Q9UKV8; Q96B67; O43521; Q13895; Q9NZN8; Q14194; P63167; O75530; Q9UKT8; Q86UU5; Q86WP2; P42694; P48551; Q0VD86; Q92615; Q9Y561; P07948; Q9H000; Q9NWQ8; Q99497; O75928; Q08752; P63244; Q0P631; Q14694; Q70EL1-9; P40337; O43309; O54918-1; P03206; O96871
GNB2L1	I3QNU9	Small ribosomal subunit protein RACK1	GNB2L1		ribosome [GO:0005840]	
GOT2	P00505	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	GOT2 KYAT4	FUNCTION: Catalyzes the irreversible transamination of the L-tryptophan metabolite L-kynurenine to form kynurenic acid (KA). As a member of the malate-aspartate shuttle, it has a key role in the intracellular NAD(H) redox balance. Is important for metabolite exchange between mitochondria and cytosol, and for amino acid metabolism. Facilitates cellular uptake of long-chain free fatty acids. {ECO:0000269|PubMed:31422819, ECO:0000269|PubMed:9537447}.	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	
GOT2	H3BRE7	Glutamic-oxaloacetic transaminase 2	GOT2			
GTF2F2	P13984	General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	FUNCTION: TFIIF is a general transcription initiation factor that binds to RNA polymerase II and helps to recruit it to the initiation complex in collaboration with TFIIB. {ECO:0000269|PubMed:2477704}.	microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIIF complex [GO:0005674]	Q8WW35; Q14192; P35269; Q9UPY8; P46776; O94763; Q96E35
GTF2F2	A0A9L9PX76	General transcription factor IIF subunit 2 (Transcription initiation factor IIF subunit beta)	GTF2F2		transcription factor TFIIF complex [GO:0005674]	
GTPBP8	Q8N3Z3	GTP-binding protein 8	GTPBP8		mitochondrion [GO:0005739]	Q9UJX2
GTPBP8	C9J0K3	GTP binding protein 8 (putative) (GTP-binding protein 8 (Putative), isoform CRA_a)	GTPBP8 hCG_17533			
GTPBP8	C9J8V5	GTP-binding protein 8	GTPBP8		mitochondrion [GO:0005739]	
GTPBP8	F8WBY6	GTP binding protein 8 (putative)	GTPBP8			
HADH	P40939	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (MLCL AT) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway (PubMed:1550553, PubMed:29915090, PubMed:30850536, PubMed:8135828, PubMed:31604922). The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA (PubMed:29915090). Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids (PubMed:30850536, PubMed:31604922). Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA described here carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities while the trifunctional enzyme subunit beta/HADHB bears the 3-ketoacyl-CoA thiolase activity (PubMed:29915090, PubMed:30850536, PubMed:8135828). Independently of subunit beta, HADHA also exhibits a cardiolipin acyltransferase activity that participates in cardiolipin remodeling; cardiolipin is a major mitochondrial membrane phospholipid (PubMed:23152787, PubMed:31604922). HADHA may act downstream of Tafazzin/TAZ, that remodels monolysocardiolipin (MLCL) to a cardiolipin intermediate, and then HADHA may continue to remodel this species into mature tetralinoleoyl-cardiolipin (PubMed:31604922). Has also been proposed to act directly on MLCL; capable of acylating MLCL using different acyl-CoA substrates, with highest activity for oleoyl-CoA (PubMed:23152787). {ECO:0000269|PubMed:1550553, ECO:0000269|PubMed:23152787, ECO:0000269|PubMed:29915090, ECO:0000269|PubMed:30850536, ECO:0000269|PubMed:31604922, ECO:0000269|PubMed:8135828, ECO:0000303|PubMed:29915090, ECO:0000303|PubMed:30850536}.	mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	O95166; Q9H0R8; P60520; P55084; P42858; Q9GZQ8
HADH	Q16836	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	HADH HAD HAD1 HADHSC SCHAD	FUNCTION: Mitochondrial fatty acid beta-oxidation enzyme that catalyzes the third step of the beta-oxidation cycle for medium and short-chain 3-hydroxy fatty acyl-CoAs (C4 to C10) (PubMed:10231530, PubMed:11489939, PubMed:16725361). Plays a role in the control of insulin secretion by inhibiting the activation of glutamate dehydrogenase 1 (GLUD1), an enzyme that has an important role in regulating amino acid-induced insulin secretion (By similarity). Plays a role in the maintenance of normal spermatogenesis through the reduction of fatty acid accumulation in the testes (By similarity). {ECO:0000250|UniProtKB:Q61425, ECO:0000269|PubMed:10231530, ECO:0000269|PubMed:11489939, ECO:0000269|PubMed:16725361}.	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HADH	A0A0A0MSE2	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	HADH		mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HADH	A0A0D9SFP2	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	HADH		mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HADH	A0A1W2PNM1	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	HADH		mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HADH	A0A1W2PP40	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A1W2PQ55	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A1W2PQ78	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	HADH			
HADH	A0A1W2PQC2	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A1W2PQV5	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A1W2PRM6	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A1W2PRT2	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A804HJK7	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A804HJW7	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A804HKJ2	Hydroxyacyl-CoA dehydrogenase	HADH			
HADH	A0A804HLB5	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	HADH		mitochondrial matrix [GO:0005759]	
HADH	E9PF18	Hydroxyacyl-CoA dehydrogenase	HADH		mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HADH	J3KR89	Hydroxyacyl-CoA dehydrogenase	HADH			
HADHA	P40939	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (MLCL AT) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	HADHA HADH	FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway (PubMed:1550553, PubMed:29915090, PubMed:30850536, PubMed:8135828, PubMed:31604922). The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA (PubMed:29915090). Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids (PubMed:30850536, PubMed:31604922). Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA described here carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities while the trifunctional enzyme subunit beta/HADHB bears the 3-ketoacyl-CoA thiolase activity (PubMed:29915090, PubMed:30850536, PubMed:8135828). Independently of subunit beta, HADHA also exhibits a cardiolipin acyltransferase activity that participates in cardiolipin remodeling; cardiolipin is a major mitochondrial membrane phospholipid (PubMed:23152787, PubMed:31604922). HADHA may act downstream of Tafazzin/TAZ, that remodels monolysocardiolipin (MLCL) to a cardiolipin intermediate, and then HADHA may continue to remodel this species into mature tetralinoleoyl-cardiolipin (PubMed:31604922). Has also been proposed to act directly on MLCL; capable of acylating MLCL using different acyl-CoA substrates, with highest activity for oleoyl-CoA (PubMed:23152787). {ECO:0000269|PubMed:1550553, ECO:0000269|PubMed:23152787, ECO:0000269|PubMed:29915090, ECO:0000269|PubMed:30850536, ECO:0000269|PubMed:31604922, ECO:0000269|PubMed:8135828, ECO:0000303|PubMed:29915090, ECO:0000303|PubMed:30850536}.	mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	O95166; Q9H0R8; P60520; P55084; P42858; Q9GZQ8
HADHA	A0A2R8Y4E0	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HADHA			
HADHA	A0A2R8Y4F5	enoyl-CoA hydratase (EC 4.2.1.17)	HADHA		mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrion [GO:0005739]	
HADHA	A0A2R8Y688	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HADHA			
HADHA	A0A2R8YDM1	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HADHA			
HADHA	A0A2R8YG21	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HADHA			
HADHA	H0YFD6	enoyl-CoA hydratase (EC 4.2.1.17)	HADHA		mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrion [GO:0005739]	
HADHB	P55084	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	HADHB MSTP029	FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway (PubMed:29915090, PubMed:30850536, PubMed:8135828). The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA (PubMed:29915090). Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids (PubMed:30850536). Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities, while the trifunctional enzyme subunit beta/HADHB described here bears the 3-ketoacyl-CoA thiolase activity (PubMed:29915090, PubMed:30850536, PubMed:8135828). {ECO:0000269|PubMed:29915090, ECO:0000269|PubMed:30850536, ECO:0000269|PubMed:8135828, ECO:0000303|PubMed:29915090, ECO:0000303|PubMed:30850536}.	endoplasmic reticulum [GO:0005783]; mitochondrial envelope [GO:0005740]; mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	Q9H0R8; P40939
HADHB	B5MD38	Trifunctional enzyme subunit beta, mitochondrial (EC 2.3.1.155) (EC 2.3.1.16) (TP-beta)	HADHB	FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway. The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA. Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids. Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities, while the trifunctional enzyme subunit beta/HADHB described here bears the 3-ketoacyl-CoA thiolase activity. {ECO:0000256|ARBA:ARBA00045672}.	mitochondrion [GO:0005739]	
HADHB	C9JE81	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	HADHB		mitochondrion [GO:0005739]	
HADHB	C9JEY0	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	HADHB		mitochondrion [GO:0005739]	
HADHB	C9K0M0	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	HADHB		mitochondrion [GO:0005739]	
HADHB	F5GZQ3	Trifunctional enzyme subunit beta, mitochondrial (EC 2.3.1.155) (EC 2.3.1.16) (TP-beta)	HADHB	FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway. The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA. Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids. Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities, while the trifunctional enzyme subunit beta/HADHB described here bears the 3-ketoacyl-CoA thiolase activity. {ECO:0000256|ARBA:ARBA00045672}.	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	
HIST1H1C	P16403	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	H1-2 H1F2 HIST1H1C	FUNCTION: Histone H1 protein binds to linker DNA between nucleosomes forming the macromolecular structure known as the chromatin fiber. Histones H1 are necessary for the condensation of nucleosome chains into higher-order structured fibers. Also acts as a regulator of individual gene transcription through chromatin remodeling, nucleosome spacing and DNA methylation (By similarity). {ECO:0000250}.	euchromatin [GO:0000791]; nucleosome [GO:0000786]; nucleus [GO:0005634]	Q9UIG0; Q9NR30; Q8IY81; Q8IUE6; Q16778
HIST2H2AA3	Q6FI13	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4	FUNCTION: Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.	extracellular exosome [GO:0070062]; nucleosome [GO:0000786]; nucleus [GO:0005634]	U3KQK0; Q12824; Q9QR71
HMGA1	P17096	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY	FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions.	cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; senescence-associated heterochromatin focus [GO:0035985]; transcription regulator complex [GO:0005667]	P16402; Q8IUE6; Q16778; P62805; Q9Y5N6; Q96LA8
HMGA1	A0A669KAX1	High mobility group AT-hook 1	HMGA1			
HMGA1	A0A994J434	High mobility group protein HMG-I/HMG-Y (High mobility group AT-hook protein 1)	HMGA1	FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions. {ECO:0000256|ARBA:ARBA00025155}.	chromatin [GO:0000785]; nucleus [GO:0005634]	
HMGA1	A0A994J705	High mobility group protein HMG-I/HMG-Y (High mobility group AT-hook protein 1)	HMGA1	FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions. {ECO:0000256|ARBA:ARBA00025155}.	chromatin [GO:0000785]; nucleus [GO:0005634]	
HMGA1	Q5T6U8	High mobility group protein HMG-I/HMG-Y (High mobility group AT-hook protein 1)	HMGA1	FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions. {ECO:0000256|ARBA:ARBA00025155}.	chromatin [GO:0000785]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]	
