"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"EIF3H","EIF3H",-0.3643947165,1.768240841,3,102,"(-0.4,-0.3]","FUNCTION: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis (PubMed:17581632, PubMed:25849773, PubMed:27462815). The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2:GTP:methionyl-tRNAi and eIF-5 to form the 43S pre-initiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation (PubMed:17581632). The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation, including cell cycling, differentiation and apoptosis, and uses different modes of RNA stem-loop binding to exert either translational activation or repression (PubMed:25849773). {ECO:0000255|HAMAP-Rule:MF_03007, ECO:0000269|PubMed:17581632, ECO:0000269|PubMed:25849773, ECO:0000269|PubMed:27462815}.","Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)"
"EIF4B","EIF4B",-0.308518413,1.316672108,3,76,"(-0.4,-0.3]","FUNCTION: Required for the binding of mRNA to ribosomes. Functions in close association with EIF4-F and EIF4-A. Binds near the 5'-terminal cap of mRNA in presence of EIF-4F and ATP. Promotes the ATPase activity and the ATP-dependent RNA unwinding activity of both EIF4-A and EIF4-F.","Eukaryotic translation initiation factor 4B (eIF-4B)"
"EIF4G2","EIF4G2",0.2634082635,2.215847151,3,59,"(0.2,0.3]","FUNCTION: Appears to play a role in the switch from cap-dependent to IRES-mediated translation during mitosis, apoptosis and viral infection. Cleaved by some caspases and viral proteases. {ECO:0000269|PubMed:11511540, ECO:0000269|PubMed:11943866, ECO:0000269|PubMed:9032289, ECO:0000269|PubMed:9049310}.","Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)"
"EMC2","EMC2",0.717580609,2.53448193,3,7,"(0.7,0.8]","FUNCTION: Part of the endoplasmic reticulum membrane protein complex (EMC) that enables the energy-independent insertion into endoplasmic reticulum membranes of newly synthesized membrane proteins (PubMed:29242231, PubMed:29809151, PubMed:30415835, PubMed:32439656, PubMed:32459176, PubMed:33964204). Preferentially accommodates proteins with transmembrane domains that are weakly hydrophobic or contain destabilizing features such as charged and aromatic residues (PubMed:29242231, PubMed:29809151, PubMed:30415835). Involved in the cotranslational insertion of multi-pass membrane proteins in which stop-transfer membrane-anchor sequences become ER membrane spanning helices (PubMed:29809151, PubMed:30415835). It is also required for the post-translational insertion of tail-anchored/TA proteins in endoplasmic reticulum membranes (PubMed:29242231, PubMed:29809151). By mediating the proper cotranslational insertion of N-terminal transmembrane domains in an N-exo topology, with translocated N-terminus in the lumen of the ER, controls the topology of multi-pass membrane proteins like the G protein-coupled receptors (PubMed:30415835). By regulating the insertion of various proteins in membranes, it is indirectly involved in many cellular processes (Probable). {ECO:0000269|PubMed:29242231, ECO:0000269|PubMed:29809151, ECO:0000269|PubMed:30415835, ECO:0000269|PubMed:32439656, ECO:0000269|PubMed:32459176, ECO:0000269|PubMed:33964204, ECO:0000305}.","ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35)"
"ENAH","ENAH",-0.3723553783,1.622019061,3,107,"(-0.4,-0.3]","FUNCTION: Ena/VASP proteins are actin-associated proteins involved in a range of processes dependent on cytoskeleton remodeling and cell polarity such as axon guidance and lamellipodial and filopodial dynamics in migrating cells. ENAH induces the formation of F-actin rich outgrowths in fibroblasts. Acts synergistically with BAIAP2-alpha and downstream of NTN1 to promote filipodia formation (By similarity). {ECO:0000250, ECO:0000269|PubMed:11696321, ECO:0000269|PubMed:18158903}.","Protein enabled homolog"
"ERCC2","ERCC2",0.6757479608,1.585107373,3,9,"(0.6,0.7]","FUNCTION: ATP-dependent 5'-3' DNA helicase (PubMed:31253769, PubMed:8413672, PubMed:9771713). Component of the general transcription and DNA repair factor IIH (TFIIH) core complex, not absolutely essential for minimal transcription in vitro (PubMed:10024882, PubMed:17466626, PubMed:9771713). Required for transcription-coupled nucleotide excision repair (NER) of damaged DNA; recognizes damaged bases (PubMed:17466626, PubMed:23352696, PubMed:9771713). Sequestered in chromatin on UV-damaged DNA (PubMed:23352696). When complexed to CDK-activating kinase (CAK), involved in transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. The ATP-dependent helicase activity of XPD/ERCC2 is required for DNA opening. Involved in DNA lesion verification (PubMed:31253769). In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFIIH is required for promoter opening and promoter escape. Phosphorylation of the C-terminal tail (CTD) of the largest subunit of RNA polymerase II by the kinase module CAK controls the initiation of transcription. XPD/ERCC2 acts by forming a bridge between CAK and the core-TFIIH complex. The structure of the TFIIH transcription complex differs from the NER-TFIIH complex; large movements by XPD/ERCC2 and XPB/ERCC3 are stabilized by XPA which allow this subunit to contact ssDNA (PubMed:31253769, PubMed:33902107). Involved in the regulation of vitamin-D receptor activity. As part of the mitotic spindle-associated MMXD complex it plays a role in chromosome segregation. Might have a role in aging process and could play a causative role in the generation of skin cancers. {ECO:0000269|PubMed:10024882, ECO:0000269|PubMed:15494306, ECO:0000269|PubMed:17466626, ECO:0000269|PubMed:20797633, ECO:0000269|PubMed:23352696, ECO:0000269|PubMed:31253769, ECO:0000269|PubMed:33902107, ECO:0000269|PubMed:8413672, ECO:0000269|PubMed:9771713}.","General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 5.6.2.3) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA 5'-3' helicase XPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)"
"FAM136A","FAM136A",-0.5648039474,2.073827068,3,179,"(-0.6,-0.5]",NA,NA
"FAM162A","FAM162A",-0.9457499012,2.21703684,3,223,"(-1,-0.9]","FUNCTION: Proposed to be involved in regulation of apoptosis; the exact mechanism may differ between cell types/tissues (PubMed:15082785). May be involved in hypoxia-induced cell death of transformed cells implicating cytochrome C release and caspase activation (such as CASP9) and inducing mitochondrial permeability transition (PubMed:15082785). May be involved in hypoxia-induced cell death of neuronal cells probably by promoting release of AIFM1 from mitochondria to cytoplasm and its translocation to the nucleus; however, the involvement of caspases has been reported conflictingly (By similarity). {ECO:0000250|UniProtKB:Q9D6U8, ECO:0000269|PubMed:15082785}.","Protein FAM162A (E2-induced gene 5 protein) (Growth and transformation-dependent protein) (HGTD-P)"
"FH","FH",-0.2797512511,2.237916779,3,67,"(-0.3,-0.2]","FUNCTION: Catalyzes the reversible stereospecific interconversion of fumarate to L-malate (PubMed:30761759). Experiments in other species have demonstrated that specific isoforms of this protein act in defined pathways and favor one direction over the other (Probable). {ECO:0000269|PubMed:30761759, ECO:0000305}.; FUNCTION: [Isoform Mitochondrial]: Catalyzes the hydration of fumarate to L-malate in the tricarboxylic acid (TCA) cycle to facilitate a transition step in the production of energy in the form of NADH. {ECO:0000250|UniProtKB:P10173}.; FUNCTION: [Isoform Cytoplasmic]: Catalyzes the dehydration of L-malate to fumarate (By similarity). Fumarate metabolism in the cytosol plays a role during urea cycle and arginine metabolism; fumarate being a by-product of the urea cycle and amino-acid catabolism (By similarity). Also plays a role in DNA repair by promoting non-homologous end-joining (NHEJ) (PubMed:20231875, PubMed:26237645). In response to DNA damage and phosphorylation by PRKDC, translocates to the nucleus and accumulates at DNA double-strand breaks (DSBs): acts by catalyzing formation of fumarate, an inhibitor of KDM2B histone demethylase activity, resulting in enhanced dimethylation of histone H3 'Lys-36' (H3K36me2) (PubMed:26237645). {ECO:0000250|UniProtKB:P97807, ECO:0000269|PubMed:20231875, ECO:0000269|PubMed:26237645}.","Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)"
"GBF1","GBF1",0.3678306101,1.633453805,3,35,"(0.3,0.4]","FUNCTION: Guanine-nucleotide exchange factor (GEF) for members of the Arf family of small GTPases involved in trafficking in the early secretory pathway; its GEF activity initiates the coating of nascent vesicles via the localized generation of activated ARFs through replacement of GDP with GTP. Recruitment to cis-Golgi membranes requires membrane association of Arf-GDP and can be regulated by ARF1, ARF3, ARF4 and ARF5. Involved in the recruitment of the COPI coat complex to the endoplasmic reticulum exit sites (ERES), and the endoplasmic reticulum-Golgi intermediate (ERGIC) and cis-Golgi compartments which implicates ARF1 activation. Involved in COPI vesicle-dependent retrograde transport from the ERGIC and cis-Golgi compartments to the endoplasmic reticulum (ER) (PubMed:12047556, PubMed:12808027, PubMed:16926190, PubMed:17956946, PubMed:18003980, PubMed:19039328, PubMed:24213530). Involved in the trans-Golgi network recruitment of GGA1, GGA2, GGA3, BIG1, BIG2, and the AP-1 adaptor protein complex related to chlathrin-dependent transport; the function requires its GEF activity (probably at least in part on ARF4 and ARF5) (PubMed:23386609). Has GEF activity towards ARF1 (PubMed:15616190). Has in vitro GEF activity towards ARF5 (By similarity). Involved in the processing of PSAP (PubMed:17666033). Required for the assembly of the Golgi apparatus (PubMed:12808027, PubMed:18003980). The AMPK-phosphorylated form is involved in Golgi disassembly during mitotis and under stress conditions (PubMed:18063581, PubMed:23418352). May be involved in the COPI vesicle-dependent recruitment of PNPLA2 to lipid droplets; however, this function is under debate (PubMed:19461073, PubMed:22185782). In neutrophils, involved in G protein-coupled receptor (GPCR)-mediated chemotaxis und superoxide production. Proposed to be recruited by phosphatidylinositol-phosphates generated upon GPCR stimulation to the leading edge where it recruits and activates ARF1, and is involved in recruitment of GIT2 and the NADPH oxidase complex (PubMed:22573891). Plays a role in maintaining mitochondrial morphology (PubMed:25190516). {ECO:0000250|UniProtKB:Q9R1D7, ECO:0000269|PubMed:12047556, ECO:0000269|PubMed:12808027, ECO:0000269|PubMed:15616190, ECO:0000269|PubMed:16926190, ECO:0000269|PubMed:17666033, ECO:0000269|PubMed:17956946, ECO:0000269|PubMed:18003980, ECO:0000269|PubMed:18063581, ECO:0000269|PubMed:19461073, ECO:0000269|PubMed:22185782, ECO:0000269|PubMed:22573891, ECO:0000269|PubMed:23386609, ECO:0000269|PubMed:23418352, ECO:0000269|PubMed:24213530, ECO:0000269|PubMed:25190516, ECO:0000305|PubMed:19039328, ECO:0000305|PubMed:22573891}.","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)"
"GLB1","GLB1",0.3129125498,1.600206928,3,45,"(0.3,0.4]","FUNCTION: [Isoform 1]: Cleaves beta-linked terminal galactosyl residues from gangliosides, glycoproteins, and glycosaminoglycans. {ECO:0000269|PubMed:15714521, ECO:0000269|PubMed:19472408, ECO:0000269|PubMed:2511208, ECO:0000269|PubMed:25936995, ECO:0000269|PubMed:8200356}.; FUNCTION: [Isoform 2]: Has no beta-galactosidase catalytic activity, but plays functional roles in the formation of extracellular elastic fibers (elastogenesis) and in the development of connective tissue. Seems to be identical to the elastin-binding protein (EBP), a major component of the non-integrin cell surface receptor expressed on fibroblasts, smooth muscle cells, chondroblasts, leukocytes, and certain cancer cell types. In elastin producing cells, associates with tropoelastin intracellularly and functions as a recycling molecular chaperone which facilitates the secretions of tropoelastin and its assembly into elastic fibers. {ECO:0000269|PubMed:10841810, ECO:0000269|PubMed:8922281}.","Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1)"
"GLUL","GLUL",-0.4949662487,2.638189354,3,163,"(-0.5,-0.4]","FUNCTION: Glutamine synthetase that catalyzes the ATP-dependent conversion of glutamate and ammonia to glutamine (PubMed:16267323, PubMed:30158707, PubMed:36289327). Its role depends on tissue localization: in the brain, it regulates the levels of toxic ammonia and converts neurotoxic glutamate to harmless glutamine, whereas in the liver, it is one of the enzymes responsible for the removal of ammonia (By similarity). Plays a key role in ammonium detoxification during erythropoiesis: the glutamine synthetase activity is required to remove ammonium generated by porphobilinogen deaminase (HMBS) during heme biosynthesis to prevent ammonium accumulation and oxidative stress (By similarity). Essential for proliferation of fetal skin fibroblasts (PubMed:18662667). Independently of its glutamine synthetase activity, required for endothelial cell migration during vascular development: acts by regulating membrane localization and activation of the GTPase RHOJ, possibly by promoting RHOJ palmitoylation (PubMed:30158707). May act as a palmitoyltransferase for RHOJ: able to autopalmitoylate and then transfer the palmitoyl group to RHOJ (PubMed:30158707). Plays a role in ribosomal 40S subunit biogenesis (PubMed:26711351). Through the interaction with BEST2, inhibits BEST2 channel activity by affecting the gating at the aperture in the absence of intracellular L-glutamate, but sensitizes BEST2 to intracellular L-glutamate, which promotes the opening of BEST2 and thus relieves its inhibitory effect on BEST2 (PubMed:36289327). {ECO:0000250|UniProtKB:P15105, ECO:0000269|PubMed:16267323, ECO:0000269|PubMed:18662667, ECO:0000269|PubMed:26711351, ECO:0000269|PubMed:30158707, ECO:0000269|PubMed:36289327}.","Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225)"
"GMDS","GMDS",-0.4254066274,2.357129452,3,132,"(-0.5,-0.4]","FUNCTION: Catalyzes the conversion of GDP-D-mannose to GDP-4-dehydro-6-deoxy-D-mannose. {ECO:0000269|PubMed:9525924, ECO:0000269|PubMed:9603974}.","GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)"
"GNB2L1","GNB2L1",-0.605827964,1.820597811,3,189,"(-0.7,-0.6]",NA,NA
"GOT2","GOT2",-0.6849829853,2.365693065,3,202,"(-0.7,-0.6]","FUNCTION: Catalyzes the irreversible transamination of the L-tryptophan metabolite L-kynurenine to form kynurenic acid (KA). As a member of the malate-aspartate shuttle, it has a key role in the intracellular NAD(H) redox balance. Is important for metabolite exchange between mitochondria and cytosol, and for amino acid metabolism. Facilitates cellular uptake of long-chain free fatty acids. {ECO:0000269|PubMed:31422819, ECO:0000269|PubMed:9537447}.","Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)"
"GTF2F2","GTF2F2",-0.377026204,1.672232782,3,111,"(-0.4,-0.3]","FUNCTION: TFIIF is a general transcription initiation factor that binds to RNA polymerase II and helps to recruit it to the initiation complex in collaboration with TFIIB. {ECO:0000269|PubMed:2477704}.","General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)"
"GTPBP8","GTPBP8",-0.9795342448,1.835213521,3,225,"(-1,-0.9]",NA,NA
"HADH","HADH",-0.434757986,2.070012024,3,134,"(-0.5,-0.4]","FUNCTION: Mitochondrial fatty acid beta-oxidation enzyme that catalyzes the third step of the beta-oxidation cycle for medium and short-chain 3-hydroxy fatty acyl-CoAs (C4 to C10) (PubMed:10231530, PubMed:11489939, PubMed:16725361). Plays a role in the control of insulin secretion by inhibiting the activation of glutamate dehydrogenase 1 (GLUD1), an enzyme that has an important role in regulating amino acid-induced insulin secretion (By similarity). Plays a role in the maintenance of normal spermatogenesis through the reduction of fatty acid accumulation in the testes (By similarity). {ECO:0000250|UniProtKB:Q61425, ECO:0000269|PubMed:10231530, ECO:0000269|PubMed:11489939, ECO:0000269|PubMed:16725361}.","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)"
"HADHA","HADHA",-0.4202779784,1.790356265,3,130,"(-0.5,-0.4]","FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway (PubMed:1550553, PubMed:29915090, PubMed:30850536, PubMed:8135828, PubMed:31604922). The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA (PubMed:29915090). Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids (PubMed:30850536, PubMed:31604922). Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA described here carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities while the trifunctional enzyme subunit beta/HADHB bears the 3-ketoacyl-CoA thiolase activity (PubMed:29915090, PubMed:30850536, PubMed:8135828). Independently of subunit beta, HADHA also exhibits a cardiolipin acyltransferase activity that participates in cardiolipin remodeling; cardiolipin is a major mitochondrial membrane phospholipid (PubMed:23152787, PubMed:31604922). HADHA may act downstream of Tafazzin/TAZ, that remodels monolysocardiolipin (MLCL) to a cardiolipin intermediate, and then HADHA may continue to remodel this species into mature tetralinoleoyl-cardiolipin (PubMed:31604922). Has also been proposed to act directly on MLCL; capable of acylating MLCL using different acyl-CoA substrates, with highest activity for oleoyl-CoA (PubMed:23152787). {ECO:0000269|PubMed:1550553, ECO:0000269|PubMed:23152787, ECO:0000269|PubMed:29915090, ECO:0000269|PubMed:30850536, ECO:0000269|PubMed:31604922, ECO:0000269|PubMed:8135828, ECO:0000303|PubMed:29915090, ECO:0000303|PubMed:30850536}.","Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (MLCL AT) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]"
"HADHB","HADHB",-0.474302868,1.590788196,3,156,"(-0.5,-0.4]","FUNCTION: Mitochondrial trifunctional enzyme catalyzes the last three of the four reactions of the mitochondrial beta-oxidation pathway (PubMed:29915090, PubMed:30850536, PubMed:8135828). The mitochondrial beta-oxidation pathway is the major energy-producing process in tissues and is performed through four consecutive reactions breaking down fatty acids into acetyl-CoA (PubMed:29915090). Among the enzymes involved in this pathway, the trifunctional enzyme exhibits specificity for long-chain fatty acids (PubMed:30850536). Mitochondrial trifunctional enzyme is a heterotetrameric complex composed of two proteins, the trifunctional enzyme subunit alpha/HADHA carries the 2,3-enoyl-CoA hydratase and the 3-hydroxyacyl-CoA dehydrogenase activities, while the trifunctional enzyme subunit beta/HADHB described here bears the 3-ketoacyl-CoA thiolase activity (PubMed:29915090, PubMed:30850536, PubMed:8135828). {ECO:0000269|PubMed:29915090, ECO:0000269|PubMed:30850536, ECO:0000269|PubMed:8135828, ECO:0000303|PubMed:29915090, ECO:0000303|PubMed:30850536}.","Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]"
"HIST1H1C","HIST1H1C",-0.277637389,1.563784464,3,64,"(-0.3,-0.2]",NA,NA
"HIST2H2AA3;HIST2H2AC","HIST2H2AA3",0.2986917968,0.9110990508,3,49,"(0.2,0.3]",NA,NA
"HMGA1","HMGA1",-0.4553845823,1.734269329,3,145,"(-0.5,-0.4]","FUNCTION: HMG-I/Y bind preferentially to the minor groove of A+T rich regions in double-stranded DNA. It is suggested that these proteins could function in nucleosome phasing and in the 3'-end processing of mRNA transcripts. They are also involved in the transcription regulation of genes containing, or in close proximity to A+T-rich regions.","High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)"
"HMGB2","HMGB2",-0.3239718477,1.638869975,3,85,"(-0.4,-0.3]","FUNCTION: Multifunctional protein with various roles in different cellular compartments. May act in a redox sensitive manner. In the nucleus is an abundant chromatin-associated non-histone protein involved in transcription, chromatin remodeling and V(D)J recombination and probably other processes. Binds DNA with a preference to non-canonical DNA structures such as single-stranded DNA. Can bent DNA and enhance DNA flexibility by looping thus providing a mechanism to promote activities on various gene promoters by enhancing transcription factor binding and/or bringing distant regulatory sequences into close proximity (PubMed:11909973, PubMed:18413230, PubMed:19522541, PubMed:19965638, PubMed:20123072, PubMed:7797075). Involved in V(D)J recombination by acting as a cofactor of the RAG complex: acts by stimulating cleavage and RAG protein binding at the 23 bp spacer of conserved recombination signal sequences (RSS) (By similarity). Proposed to be involved in the innate immune response to nucleic acids by acting as a promiscuous immunogenic DNA/RNA sensor which cooperates with subsequent discriminative sensing by specific pattern recognition receptors (By similarity). In the extracellular compartment acts as a chemokine. Promotes proliferation and migration of endothelial cells implicating AGER/RAGE (PubMed:19811285). Has antimicrobial activity in gastrointestinal epithelial tissues (PubMed:23877675). Involved in inflammatory response to antigenic stimulus coupled with pro-inflammatory activity (By similarity). Involved in modulation of neurogenesis probably by regulation of neural stem proliferation (By similarity). Involved in articular cartilage surface maintenance implicating LEF1 and the Wnt/beta-catenin pathway (By similarity). {ECO:0000250|UniProtKB:P09429, ECO:0000250|UniProtKB:P30681, ECO:0000269|PubMed:11909973, ECO:0000269|PubMed:18413230, ECO:0000269|PubMed:19522541, ECO:0000269|PubMed:19811285, ECO:0000269|PubMed:19965638, ECO:0000269|PubMed:23877675, ECO:0000269|PubMed:7797075, ECO:0000305|PubMed:20123072}.","High mobility group protein B2 (High mobility group protein 2) (HMG-2)"
"HNRNPDL","HNRNPDL",-0.2784618884,1.106346238,3,66,"(-0.3,-0.2]","FUNCTION: Acts as a transcriptional regulator. Promotes transcription repression. Promotes transcription activation in differentiated myotubes (By similarity). Binds to double- and single-stranded DNA sequences. Binds to the transcription suppressor CATR sequence of the COX5B promoter (By similarity). Binds with high affinity to RNA molecules that contain AU-rich elements (AREs) found within the 3'-UTR of many proto-oncogenes and cytokine mRNAs. Binds both to nuclear and cytoplasmic poly(A) mRNAs. Binds to poly(G) and poly(A), but not to poly(U) or poly(C) RNA homopolymers. Binds to the 5'-ACUAGC-3' RNA consensus sequence. {ECO:0000250, ECO:0000269|PubMed:9538234}.","Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)"
"HSD17B12","HSD17B12",0.6817192758,2.700981296,3,8,"(0.6,0.7]","FUNCTION: Catalyzes the second of the four reactions of the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme has a 3-ketoacyl-CoA reductase activity, reducing 3-ketoacyl-CoA to 3-hydroxyacyl-CoA, within each cycle of fatty acid elongation. Thereby, it may participate in the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators. May also catalyze the transformation of estrone (E1) into estradiol (E2) and play a role in estrogen formation. {ECO:0000269|PubMed:12482854, ECO:0000269|PubMed:16166196}.","Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 1)"
"HSPA9","HSPA9",-0.2720029818,1.78485129,3,62,"(-0.3,-0.2]","FUNCTION: Mitochondrial chaperone that plays a key role in mitochondrial protein import, folding, and assembly. Plays an essential role in the protein quality control system, the correct folding of proteins, the re-folding of misfolded proteins, and the targeting of proteins for subsequent degradation. These processes are achieved through cycles of ATP binding, ATP hydrolysis, and ADP release, mediated by co-chaperones (PubMed:18632665, PubMed:25615450, PubMed:28848044, PubMed:30933555, PubMed:31177526). In mitochondria, it associates with the TIM (translocase of the inner membrane) protein complex to assist in the import and folding of mitochondrial proteins (By similarity). Plays an important role in mitochondrial iron-sulfur cluster (ISC) biogenesis, interacts with and stabilizes ISC cluster assembly proteins FXN, NFU1, NFS1 and ISCU (PubMed:26702583). Regulates erythropoiesis via stabilization of ISC assembly (PubMed:21123823, PubMed:26702583). Regulates mitochondrial calcium-dependent apoptosis by coupling two calcium channels, ITPR1 and VDAC1, at the mitochondria-associated endoplasmic reticulum (ER) membrane to facilitate calcium transport from the ER lumen to the mitochondria intermembrane space, providing calcium for the downstream calcium channel MCU, which releases it into the mitochondrial matrix (By similarity). Although primarily located in the mitochondria, it is also found in other cellular compartments. In the cytosol, it associates with proteins involved in signaling, apoptosis, or senescence. It may play a role in cell cycle regulation via its interaction with and promotion of degradation of TP53 (PubMed:24625977, PubMed:26634371). May play a role in the control of cell proliferation and cellular aging (By similarity). Protects against reactive oxygen species (ROS) (By similarity). Extracellular HSPA9 plays a cytoprotective role by preventing cell lysis following immune attack by the membrane attack complex by disrupting formation of the complex (PubMed:16091382). {ECO:0000250|UniProtKB:P0CS90, ECO:0000250|UniProtKB:P38647, ECO:0000269|PubMed:16091382, ECO:0000269|PubMed:18632665, ECO:0000269|PubMed:21123823, ECO:0000269|PubMed:24625977, ECO:0000269|PubMed:25615450, ECO:0000269|PubMed:26634371, ECO:0000269|PubMed:26702583, ECO:0000269|PubMed:28848044, ECO:0000269|PubMed:30933555, ECO:0000269|PubMed:31177526}.","Stress-70 protein, mitochondrial (EC 3.6.4.10) (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Heat shock protein family A member 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)"
"IDH2","IDH2",-0.5289354275,3.357958054,3,175,"(-0.6,-0.5]","FUNCTION: Plays a role in intermediary metabolism and energy production (PubMed:19228619, PubMed:22416140). It may tightly associate or interact with the pyruvate dehydrogenase complex (PubMed:19228619, PubMed:22416140). {ECO:0000269|PubMed:19228619, ECO:0000269|PubMed:22416140}.","Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)"
"IFRD1","IFRD1",0.7349658596,2.928512244,3,6,"(0.7,0.8]","FUNCTION: Could play a role in regulating gene activity in the proliferative and/or differentiative pathways induced by NGF. May be an autocrine factor that attenuates or amplifies the initial ligand-induced signal (By similarity). {ECO:0000250}.","Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)"
